dataset,model,repeat,R2,MSE,MAE,RMSE,alpha,n_selected
y3_no_multicollinearity,OLS,4,0.9752611725043682,0.037893614023169396,0.1680389857335369,0.19466282136856383,,
y3_no_multicollinearity,Ridge,4,0.9752616615072629,0.03789286499466538,0.1680355458011251,0.1946608974464707,0.001,
y3_no_multicollinearity,Lasso,4,0.9754662624837089,0.037579468151925845,0.16644259398990977,0.19385424460642034,0.005298316906283713,2.0
y3_no_multicollinearity,LARS,4,0.9752611725043683,0.03789361402316933,0.1680389857335367,0.19466282136856367,7.894919286223336e-17,2.0
y3_no_multicollinearity,OLS,5,0.9850275769658934,0.02357837923549917,0.12460113993232891,0.15355252923836574,,
y3_no_multicollinearity,Ridge,5,0.9850279000874207,0.023577870387873637,0.12459623023486562,0.1535508723123175,0.001,
y3_no_multicollinearity,Lasso,5,0.9850371051723473,0.023563374338516765,0.12445689276270148,0.15350366229675683,0.00032903445623126676,2.0
y3_no_multicollinearity,LARS,5,0.9850275769658935,0.02357837923549913,0.12460113993232858,0.15355252923836563,7.894919286223336e-17,2.0
y3_no_multicollinearity,OLS,6,0.9702260794561244,0.04031531325468318,0.1615053601774462,0.200786735753842,,
y3_no_multicollinearity,Ridge,6,0.9702173545329046,0.040327127218256216,0.16154841994291255,0.2008161527822307,0.04520353656360243,
y3_no_multicollinearity,Lasso,6,0.9702163521152087,0.0403284845397873,0.16153612555772978,0.20081953226662816,0.0001,2.0
y3_no_multicollinearity,LARS,6,0.9702260794561244,0.040315313254683245,0.16150536017744632,0.20078673575384218,0.0,2.0
y3_no_multicollinearity,OLS,7,0.9758007470900715,0.033979879369630005,0.14944331372500222,0.18433632135211445,,
y3_no_multicollinearity,Ridge,7,0.9757993611369655,0.033981825484228095,0.14944912276331254,0.18434159998282562,0.001,
y3_no_multicollinearity,Lasso,7,0.9757935403204219,0.03398999890366058,0.149481874103176,0.18436376787118605,0.0001,2.0
